id,term,ontoid,ontolabel,characterr,characterstate,source
820,flange,UBERON:0004529;,"anatomical projection;",description,"a sharp flange",earlyevolutionofarchosaurs-1.xml_b5c2ef90-f358-4d2c-8bac-1784bf98e0ab_001d10f3-b4ac-4ced-887b-5b82e2ef2474.txt-0
821,flange,UBERON:0004529;,"anatomical projection;",character,"humerus , ectepicondylar flange :",earlyevolutionofarchosaurs-1.xml_f05bb37b-fb43-41fb-b776-4c0a5b25672d.txt-0
822,flange,UBERON:0004529;,"anatomical projection;",character,"tibia , posterolateral flange of the distal portion :",earlyevolutionofarchosaurs-1.xml_f181e06b-e737-458f-9810-d1ce0b02e4f3.txt-0
823,flange,UBERON:0004529;,"anatomical projection;",character,"quadrate_internal flange of squamosal",Anderson_2007.xml_8a71942f-03bc-4e4e-8841-e40edef1fa55.txt-0
824,flange,UBERON:0004529;,"anatomical projection;",character,"supratympanic flange",Anderson_2007.xml_99bbaa34-6093-457f-a392-de560a38f654.txt-0
825,flange,UBERON:0004529;,"anatomical projection;",character,"semilunar flange of supratemporal",Anderson_2007.xml_ec91f18e-81f9-44f9-b55c-442562f09337.txt-0
826,flange,UBERON:0004529;,"anatomical projection;",character,"prearticular with mesially projecting flange on dorsal edge along posterior border of adductor fossa",Swartz_2012.xml_3f0fd2a4-61aa-445d-ab5e-7fae95af5713.txt-0
827,flange,UBERON:0004529;,"anatomical projection;",description,"some or all bear flanges from posterior margin which narrow distally",Swartz_2012.xml_89073e49-aab8-4ebf-9b67-b4c51e05ad6b_d7176606-0ab4-4173-ab23-e360de36aa74.txt-0
828,floor,,,description,"meet along the midline on the floor of the endocranial cavity",earlyevolutionofarchosaurs-1.xml_ea2e6253-a721-4574-b0e5-ac92bcaf9990_1fac547b-1e2b-49db-95ab-4e6c3ecc701a.txt-0
829,floor,,,description,"do not meet along the midline on the floor of the endocranial cavity",earlyevolutionofarchosaurs-1.xml_ea2e6253-a721-4574-b0e5-ac92bcaf9990_5b723ac6-9494-4bc5-b0e3-ca27976bf209.txt-0
830,fluting,,,character,"enamel fluting",Anderson_2007.xml_002ac90c-03b5-4e99-8789-e06d66375187.txt-0
831,fold,,,description,"folds over the posterior / posterodorsal part of the antorbital fenestra",earlyevolutionofarchosaurs-1.xml_b7b01c97-1f07-468d-805e-709872eacb40_d6ac45b4-52fe-4b28-82d7-b28cea3e5dc9.txt-0
832,fontanelle,UBERON:0002221;,fontanelle;,character,"dorsal fontanelle on snout",Swartz_2012.xml_665ffb65-81c2-4662-aba2-86c1e12d1c8f.txt-0
833,footplate,UBERON:0006871;,footplate;,character,"footplate of stapes",Anderson_2007.xml_8abd8941-7ae1-4697-be1d-525162577e81.txt-0
834,footplate,UBERON:0006871;,footplate;,description,"under footplate of stapes",Anderson_2007.xml_a992a0f2-78ea-4e6e-a620-bb9740b93b8d_04c75b37-59fe-4280-be9f-8c8d472457c1.txt-0
835,foramen,TAO:0001736,foramen,character,"maxilla , anterolateral surface , large anteriorly opening foramen :",earlyevolutionofarchosaurs-1.xml_01c4e778-45c9-41ec-aa21-ce16c391ad75.txt-0
836,foramen,TAO:0001736,foramen,character,"foramen or groove passing above and into the dorsal end of the metotic foramen :",earlyevolutionofarchosaurs-1.xml_2d69b136-9bd7-4f11-8cfa-71d07d74b60f.txt-0
837,foramen,TAO:0001736,foramen,character,"pubis , obturator foramen :",earlyevolutionofarchosaurs-1.xml_337c9444-1010-4604-993d-cced2ad10f5d.txt-0
838,foramen,TAO:0001736,foramen,character,"prootic , ridge on lateral surface of inferior anterior process ventral to the trigeminal foramen :",earlyevolutionofarchosaurs-1.xml_3a8ef377-33b0-4d84-b695-4a4c286a14c9.txt-0
839,foramen,TAO:0001736,foramen,character,"surangular foramen :",earlyevolutionofarchosaurs-1.xml_3e25d36c-2d77-42f9-8bc4-4ed103aafc1e.txt-0
840,foramen,TAO:0001736,foramen,description,"without foramen / foramina",earlyevolutionofarchosaurs-1.xml_61af16ad-c2d2-4752-8590-1a157c4dc584_65bc49f8-7a28-4c9b-87c0-c11d3a202071.txt-0
841,foramen,TAO:0001736,foramen,description,"with foramen / foramina",earlyevolutionofarchosaurs-1.xml_61af16ad-c2d2-4752-8590-1a157c4dc584_819536cf-ff85-4f18-b44a-dd9b4f2f8807.txt-0
842,foramen,TAO:0001736,foramen,description,"equal or greater than half the diameter of the foramen magnum",earlyevolutionofarchosaurs-1.xml_63d78c40-677e-4c52-9a95-0f0897fe917f_af1aa36a-65d7-4eec-ac2b-1c07d7e2c2b4.txt-0
843,foramen,TAO:0001736,foramen,description,"less than half the diameter of the foramen magnum or absent",earlyevolutionofarchosaurs-1.xml_63d78c40-677e-4c52-9a95-0f0897fe917f_c8137557-a4cd-4bb9-8665-9fc2acd81283.txt-0
844,foramen,TAO:0001736,foramen,character,"articular , foramen on the medial side :",earlyevolutionofarchosaurs-1.xml_6847036e-af99-4bba-9cf1-5fd7d5c5752c.txt-0
845,foramen,TAO:0001736,foramen,description,"reduced to a foramen or absent",earlyevolutionofarchosaurs-1.xml_6fa5ee79-b917-4392-9cce-307322bfcf5e_cc435b2f-72eb-4e3a-bfd7-d9dcf280addc.txt-0
846,foramen,TAO:0001736,foramen,description,"contributes to border of foramen magnum",earlyevolutionofarchosaurs-1.xml_830712a8-c8be-4b69-8e2f-4b2dad591d85_14db0ae3-5283-4160-8942-1706330daffb.txt-0
847,foramen,TAO:0001736,foramen,description,"excluded from dorsal border of foramen magnum by mediodorsal midline contact between opposite exoccipitals",earlyevolutionofarchosaurs-1.xml_830712a8-c8be-4b69-8e2f-4b2dad591d85_506c890e-0e03-4c48-823d-372e50f0edc7.txt-0
848,foramen,TAO:0001736,foramen,character,"parietal foramen :",earlyevolutionofarchosaurs-1.xml_8a380811-a5de-4e3d-92a9-18b37f6fe6bc.txt-0
849,foramen,TAO:0001736,foramen,character,"perilymphatic foramen :",earlyevolutionofarchosaurs-1.xml_8d65b3be-6f37-47ef-af04-c982abc98a52.txt-0
850,foramen,TAO:0001736,foramen,description,"foramen positioned more laterally so that duct is transmitted posterolaterally / laterally and the foramen is at least partly visible in lateral view",earlyevolutionofarchosaurs-1.xml_8d65b3be-6f37-47ef-af04-c982abc98a52_7b8bcfd8-bc84-4001-93cd-1c327976a5ed.txt-0
851,foramen,TAO:0001736,foramen,character,"foramen for trigeminal nerve and middle cerebral vein :",earlyevolutionofarchosaurs-1.xml_c0237c89-751d-4525-9111-22a423b1657e.txt-0
852,foramen,TAO:0001736,foramen,character,"quadratojugal and quadrate , suture between the elements , foramen :",earlyevolutionofarchosaurs-1.xml_c2813d3e-8323-4735-8286-1f1fe431337e.txt-0
853,foramen,TAO:0001736,foramen,description,"ossified largely by laterosphenoid and parabasisphenoid , with contact occurring between these two elements anterior to the trigeminal foramen in the adult braincase",earlyevolutionofarchosaurs-1.xml_c3e5f6c4-1f16-43ea-adfa-7704a5855f8f_8fd8f635-1d18-45d6-b52a-f0d81fe1e5f7.txt-0
854,foramen,TAO:0001736,foramen,character,"external foramen for abducen nerves :",earlyevolutionofarchosaurs-1.xml_c5346ba7-1a50-4221-9c1b-7e2496e4da98.txt-0
855,foramen,TAO:0001736,foramen,character,"splenial , foramen in the ventral part :",earlyevolutionofarchosaurs-1.xml_d3537e4d-bf19-4329-a6db-bd8d19159a89.txt-0
856,foramen,TAO:0001736,foramen,character,"perilymphatic foramen :",earlyevolutionofarchosaurs-1.xml_d74b6b24-cdca-4034-b5dd-6baacf578fa9.txt-0
857,foramen,TAO:0001736,foramen,character,"premaxilla_maxilla , subnarial foramen between the elements :",earlyevolutionofarchosaurs-1.xml_e032ec3e-bdce-4b33-9fd3-668622f562c6.txt-0
858,foramen,TAO:0001736,foramen,description,"present and the border of the foramen is present on the maxilla but not on the premaxilla",earlyevolutionofarchosaurs-1.xml_e032ec3e-bdce-4b33-9fd3-668622f562c6_7ab51e08-f8e6-4d9a-8c6d-c221419b80e3.txt-0
859,foramen,TAO:0001736,foramen,description,"present and the border of the foramen is present on the premaxilla but not on the maxilla",earlyevolutionofarchosaurs-1.xml_e032ec3e-bdce-4b33-9fd3-668622f562c6_aedb10ab-9c7f-47c0-a28b-8b1b3c768eef.txt-0
860,foramen,TAO:0001736,foramen,description,"present and the border of the foramen is present on both the maxilla and the premaxilla",earlyevolutionofarchosaurs-1.xml_e032ec3e-bdce-4b33-9fd3-668622f562c6_af111976-9c79-4402-bc79-16d57b4032f9.txt-0
861,foramen,TAO:0001736,foramen,character,"maxilla , promaxillary foramen :",earlyevolutionofarchosaurs-1.xml_e25d4fc6-f521-4b89-8192-ad8403f9a460.txt-0
862,foramen,TAO:0001736,foramen,character,"entepicondylar foramen",Anderson_2007.xml_59c2ddd7-c4e3-4e3f-961b-f0a38ca88b62.txt-0
863,foramen,TAO:0001736,foramen,character,"jugular foramen",Anderson_2007.xml_73a891db-16f1-423b-bdd9-f17a57ee6987.txt-0
864,foramen,TAO:0001736,foramen,character,"supraglenoid foramen",Anderson_2007.xml_90900042-5f7e-468c-8378-a6a36725afce.txt-0
865,foramen,TAO:0001736,foramen,character,"profundus foramen in postnasal wall",Swartz_2012.xml_3dd02f0c-7e1a-4f13-9f63-a86c066b7e06.txt-0
866,foramen,TAO:0001736,foramen,character,"parietals surround pineal foramen",Swartz_2012.xml_49f0478c-a4c6-4cb1-90c7-522e17e8f827.txt-0
867,foramen,TAO:0001736,foramen,description,"parietals surround pineal foramen / eminence",Swartz_2012.xml_49f0478c-a4c6-4cb1-90c7-522e17e8f827_929e0819-e962-4703-bbc6-187a2c64acbf.txt-0
868,foramen,TAO:0001736,foramen,description,"single large foramen",Swartz_2012.xml_c4583955-0364-47a6-b346-91f8cf9efab7_8f2b01d4-5c87-4bc7-9e74-3667692c84ca.txt-0
869,foramen,TAO:0001736,foramen,character,"position of pineal foramen",Swartz_2012.xml_c7654b7f-9add-4e86-b368-d6887a76c673.txt-0
870,foramen,TAO:0001736,foramen,description,"position of pineal foramen / eminence",Swartz_2012.xml_c7654b7f-9add-4e86-b368-d6887a76c673_d89394c0-c08e-4cc1-b7a7-fb53e66d8be0.txt-0
871,foramen,TAO:0001736,foramen,character,"mesial parasymphysial foramen",Swartz_2012.xml_d8094b10-0951-450d-88d4-83ec35a7f8fe.txt-0
872,foramen,TAO:0001736,foramen,character,"pineal foramen",Swartz_2012.xml_e17a5235-6023-4a56-8bae-785d478f5274.txt-0
873,foramen,TAO:0001736,foramen,character,"lateral parasymphysial foramen",Swartz_2012.xml_ea292b4e-a08f-4fb1-939c-01209c508ef8.txt-0
874,foramen,TAO:0001736,foramen,description,"very large plate without large coracoid foramen",Swartz_2012.xml_ecb237b9-ed02-4d76-bc10-28ceb85fa694_4ac960b0-a089-4fcf-8ec2-7eda45b69d98.txt-0
875,foramen,TAO:0001736,foramen,description,"large plate pierced by large coracoid foramen",Swartz_2012.xml_ecb237b9-ed02-4d76-bc10-28ceb85fa694_5860b6a4-7ab4-497f-9c81-5807b1efd49f.txt-0
876,forament,,,character,"parietal forament",Anderson_2007.xml_bfdf4561-0f80-4b14-bee6-a41fac8ce41f.txt-0
877,foramen,TAO:0001736,foramen,description,"with clear crest lying anterior to both external foramina for hypoglossal nerve",earlyevolutionofarchosaurs-1.xml_050aafd7-93a8-4d55-b1f0-32876dff6155_a4a46d6b-99d7-4512-8521-73852d099772.txt-0
878,foramen,TAO:0001736,foramen,description,"with clear crest present anterior to the more posterior external foramina for hypoglossal nerve",earlyevolutionofarchosaurs-1.xml_050aafd7-93a8-4d55-b1f0-32876dff6155_c42d7b2e-8eca-4a2e-998e-c2e2759e8a59.txt-0
879,foramen,TAO:0001736,foramen,character,"parabasisphenoid , foramina for entrance of cerebral branches of internal carotid artery into the braincase positioned on the surface :",earlyevolutionofarchosaurs-1.xml_1183556d-ce2a-4f7c-bc4a-5894a88284b6.txt-0
880,foramen,TAO:0001736,foramen,description,"present as foramina",earlyevolutionofarchosaurs-1.xml_3d74d5bc-3033-4fb9-90c6-fcae2bb3fb5c_e9dfe26a-5452-4c7b-b211-9c3ebb1d6215.txt-0
881,foramen,TAO:0001736,foramen,description,"without foramen / foramina",earlyevolutionofarchosaurs-1.xml_61af16ad-c2d2-4752-8590-1a157c4dc584_65bc49f8-7a28-4c9b-87c0-c11d3a202071.txt-0
882,foramen,TAO:0001736,foramen,description,"with foramen / foramina",earlyevolutionofarchosaurs-1.xml_61af16ad-c2d2-4752-8590-1a157c4dc584_819536cf-ff85-4f18-b44a-dd9b4f2f8807.txt-0
883,foramen,TAO:0001736,foramen,character,"parabasisphenoid , external foramina for passage of abducens nerves :",earlyevolutionofarchosaurs-1.xml_da0c54ff-d5b2-4830-835f-f38e8f03ea01.txt-0
884,foramen,TAO:0001736,foramen,character,"spinal nerve foramina",Anderson_2007.xml_0f5981c3-c932-41b3-bcf7-0d8475d31993.txt-0
885,foramen,TAO:0001736,foramen,character,"number coracoid foramina",Anderson_2007.xml_3e969065-20a4-4793-a6a8-381cacd8f76a.txt-0
886,foramen,TAO:0001736,foramen,character,"meckelian foramina",Swartz_2012.xml_29fa5ff2-0b94-4342-9107-346ee67345ff.txt-0
887,foramen,TAO:0001736,foramen,description,"meckelian foramina / fenestrae dorsal margins formed by",Swartz_2012.xml_29fa5ff2-0b94-4342-9107-346ee67345ff_9a54f41d-970c-4813-8f82-1dbac8897bef.txt-0
888,foramen,TAO:0001736,foramen,character,"foramina on cheekplate",Swartz_2012.xml_87e6828b-17d8-4341-a8f9-3ea87c4d63c7.txt-0
889,foramen,TAO:0001736,foramen,description,"solid side wall pierced by small foramina for pituitary vein and other vessels",Swartz_2012.xml_c4583955-0364-47a6-b346-91f8cf9efab7_7ed420c5-906b-4492-863e-37bc804d99d0.txt-0
890,foramen,TAO:0001736,foramen,description,"yes but interrupted by meckelian foramina or fenestrae",Swartz_2012.xml_d424b862-4171-4161-aef6-1be73bf9e173_92270034-1995-4d5a-92c6-fdfdc6baf23a.txt-0
891,foramen,TAO:0001736,foramen,character,"meckelian foramina",Swartz_2012.xml_e50948c5-675c-48e6-a9bc-539808c4b4c2.txt-0
892,foramen,TAO:0001736,foramen,description,"meckelian foramina / fenestrae height",Swartz_2012.xml_e50948c5-675c-48e6-a9bc-539808c4b4c2_b47cf1a0-cf93-4e93-bea6-26268e6c30fd.txt-0
893,forelimb,UBERON:0002102;,forelimb;,character,"forelimb_hindlimb length ratio :",earlyevolutionofarchosaurs-1.xml_24ff9bad-6167-4865-9455-9d2d5f48560d.txt-0
894,forelimb,UBERON:0002102;,forelimb;,description,"more than 50 % of total forelimb length",earlyevolutionofarchosaurs-1.xml_882a71b4-ab42-424b-894a-a760f9a94fcb_6146c8c0-496f-4995-8eb8-daeaf768d939.txt-0
895,forelimb,UBERON:0002102;,forelimb;,description,"less than or equal to 50 % of total forelimb length",earlyevolutionofarchosaurs-1.xml_882a71b4-ab42-424b-894a-a760f9a94fcb_c69eac24-ca9d-4e01-895d-c760b6347c49.txt-0
896,forelimb-hindlimb,,,character,"forelimb_hindlimb length ratio :",earlyevolutionofarchosaurs-1.xml_24ff9bad-6167-4865-9455-9d2d5f48560d.txt-0
897,fossa,TAO:0001743,fossa,description,"smooth posteriorly or has a shallow fossa",earlyevolutionofarchosaurs-1.xml_0af4f184-73f7-47a4-a693-2358fac292f7_54a3e5ae-d2a0-4ed2-9d39-41aed64dfcb8.txt-0
898,fossa,TAO:0001743,fossa,description,"lacks a marked rimmed and elliptical fossa posterior to the anterior ascending process",earlyevolutionofarchosaurs-1.xml_12ea4929-7ced-469b-8a1e-ffaaf5fed336_0b2e0d26-01c4-4018-b56b-1911281ed172.txt-0
899,fossa,TAO:0001743,fossa,description,"possesses a marked rimmed and elliptical fossa posterior to the anterior ascending process",earlyevolutionofarchosaurs-1.xml_12ea4929-7ced-469b-8a1e-ffaaf5fed336_6ef9ba9a-6df7-429d-beac-4595583de5c2.txt-0
900,fossa,TAO:0001743,fossa,description,"with upper temporal fossa",earlyevolutionofarchosaurs-1.xml_16f583fc-3917-4b0d-9e59-2fa44f8e3814_1e098afd-a65c-4d69-a704-e3241efc58a8.txt-0
901,fossa,TAO:0001743,fossa,description,"without upper temporal fossa",earlyevolutionofarchosaurs-1.xml_16f583fc-3917-4b0d-9e59-2fa44f8e3814_aa28dd78-e7d0-4c39-b9b3-1c5d5cac2563.txt-0
902,fossa,TAO:0001743,fossa,character,"supratemporal fossa :",earlyevolutionofarchosaurs-1.xml_1d3571cd-4cd5-4c0d-a0ce-d0100b92e37a.txt-0
903,fossa,TAO:0001743,fossa,description,"without dorsomedial projection posterior to the glenoid fossa",earlyevolutionofarchosaurs-1.xml_561f53df-0f3d-4ae9-81e6-19dc408f2651_2eb8a5ee-7632-4971-ac08-fa9c1c6eff13.txt-0
904,fossa,TAO:0001743,fossa,description,"with dorsomedial projection continuous with the glenoid fossa",earlyevolutionofarchosaurs-1.xml_561f53df-0f3d-4ae9-81e6-19dc408f2651_417bf48a-eaff-432c-94b8-a39ae5f2c407.txt-0
905,fossa,TAO:0001743,fossa,description,"with dorsomedial projection separated from glenoid fossa by a clear concave surface",earlyevolutionofarchosaurs-1.xml_561f53df-0f3d-4ae9-81e6-19dc408f2651_b1846665-dc28-4324-9e9d-aa47f4f9a95f.txt-0
906,fossa,TAO:0001743,fossa,description,"separated by a gap with a ventral fossa",earlyevolutionofarchosaurs-1.xml_704e6f8a-a0a0-4521-8b40-a46446f40299_d9e51117-32be-4437-bc5c-a17757e5dbfa.txt-0
907,fossa,TAO:0001743,fossa,character,"scapula , tear_drop shaped tuber on the posterior edge , just dorsal of the glenoid fossa of the scapula :",earlyevolutionofarchosaurs-1.xml_73f9ba69-06f7-4434-887b-574b4f39c10e.txt-0
908,fossa,TAO:0001743,fossa,description,"has supratemporal fossa separated by a sagittal crest",earlyevolutionofarchosaurs-1.xml_7b998d9c-4587-4396-90eb-9acbf3cd1378_47af9316-09d3-46b5-aa90-ba7e18c0d7be.txt-0
909,fossa,TAO:0001743,fossa,description,"supratemporal fossa separated by a mediolaterally thin strip of flat bone",earlyevolutionofarchosaurs-1.xml_7b998d9c-4587-4396-90eb-9acbf3cd1378_4b97223f-6a62-4b49-969e-c953ea4c5698.txt-0
910,fossa,TAO:0001743,fossa,character,"palatine , fossa on the dorsal surface :",earlyevolutionofarchosaurs-1.xml_7e2a1780-eac8-418c-9055-7be480eadb3d.txt-0
911,fossa,TAO:0001743,fossa,description,"non_articular fossa present on the posterior portion",earlyevolutionofarchosaurs-1.xml_885f6302-c064-485b-8e7c-60eccd684349_f16ddfcc-5494-4fed-96b2-b4079ff53cfe.txt-0
912,fossa,TAO:0001743,fossa,character,"maxilla , buccal emargination separated from the ventral margin of the antorbital fossa :",earlyevolutionofarchosaurs-1.xml_9134672a-345b-47db-bca9-a27afac675d6.txt-0
913,fossa,TAO:0001743,fossa,character,"ilium , distinct fossa present for the attachment of the m caudifemoralis brevis :",earlyevolutionofarchosaurs-1.xml_97246c85-320c-4b7a-b7c3-03375ef05847.txt-0
914,fossa,TAO:0001743,fossa,description,"present as a deep fossa on the ventral surface of postacetabular part of the ilium",earlyevolutionofarchosaurs-1.xml_97246c85-320c-4b7a-b7c3-03375ef05847_28c23c05-3afa-4b66-aaae-729052673c23.txt-0
915,fossa,TAO:0001743,fossa,description,"without distinct ridge on dorsal surface along edge of supratemporal fossa",earlyevolutionofarchosaurs-1.xml_9b9dfc19-2b67-494d-9c8b-6251b000a607_52e0c35f-55e3-4fd2-8ef2-d5e080feeda5.txt-0
916,fossa,TAO:0001743,fossa,description,"with distinct ridge on dorsal surface along edge of supratemporal fossa",earlyevolutionofarchosaurs-1.xml_9b9dfc19-2b67-494d-9c8b-6251b000a607_686424d0-bcaa-456d-a2d7-6e9d6c39f66b.txt-0
917,fossa,TAO:0001743,fossa,character,"premaxilla , narial fossa :",earlyevolutionofarchosaurs-1.xml_ad5cd278-9738-4a08-9cb6-9681040d07b5.txt-0
918,fossa,TAO:0001743,fossa,character,"antorbital fossa :",earlyevolutionofarchosaurs-1.xml_b8ea07d6-551a-4d2b-92a1-c51c537b54f8.txt-0
919,fossa,TAO:0001743,fossa,description,"forms part of the dorsal border of the antorbital fossa",earlyevolutionofarchosaurs-1.xml_d2b94c5b-2f8c-4723-b165-7e4059d47ce8_a152c0cf-4f90-461a-be59-0a34fcdf45f9.txt-0
920,fossa,TAO:0001743,fossa,description,"does not form part of the dorsal border of the antorbital fossa",earlyevolutionofarchosaurs-1.xml_d2b94c5b-2f8c-4723-b165-7e4059d47ce8_f19a313e-c0fe-4ff8-9b6b-0083bde6dd36.txt-0
921,fossa,TAO:0001743,fossa,description,"without a ridge marking the posteroventral corner of the lower temporal fossa",earlyevolutionofarchosaurs-1.xml_e177f529-eef3-4691-a8f9-534aa46225a8_6f0c6cca-7fad-4f1a-b8f0-d90aa104a092.txt-0
922,fossa,TAO:0001743,fossa,description,"with a ridge marking the posteroventral corner of the lower temporal fossa",earlyevolutionofarchosaurs-1.xml_e177f529-eef3-4691-a8f9-534aa46225a8_9c57f1e6-9919-4857-8cae-7726bcb0579f.txt-0
923,fossa,TAO:0001743,fossa,description,"articular surfaces with the ilium and the pubis continuous but separated by a fossa",earlyevolutionofarchosaurs-1.xml_e57096f9-31d6-4c1c-9adf-4e7cbba01873_02d7942a-fd94-4310-92b9-8a885714ec7f.txt-0
924,fossa,TAO:0001743,fossa,description,"raised rim defining a fossa around the choana on the ventral surface",earlyevolutionofarchosaurs-1.xml_f187a0c2-a005-4f70-b492-478646e46ac8_53cbb29b-2cf5-4af6-ba47-d896fcf58997.txt-0
925,fossa,TAO:0001743,fossa,character,"coracoid , deep fossa on the posterodorsal edge :",earlyevolutionofarchosaurs-1.xml_fb7e1466-57d2-4cc8-b9e2-95d786c0e7f3.txt-0
926,fossa,TAO:0001743,fossa,character,"intertrochanteric fossa",Anderson_2007.xml_1f9b27c0-db48-47ca-89c3-31463336fca7.txt-0
927,fossa,TAO:0001743,fossa,character,"ventral border of meckels fossa",Anderson_2007.xml_7cfe7b6a-17f8-4246-a4ac-35d3bcf53c79.txt-0
928,fossa,TAO:0001743,fossa,description,"peak anterior to adductor fossa , dorsal margin of fossa concave",Swartz_2012.xml_0fb9bf51-9ec3-4725-b925-1da37a2b203f_0480fcd2-41be-45f3-9681-17adcf8ce81d.txt-0
929,fossa,TAO:0001743,fossa,description,"peak above anterior part of adductor fossa , dorsal margin of fossa convex",Swartz_2012.xml_0fb9bf51-9ec3-4725-b925-1da37a2b203f_6ba3dcc4-cbe6-457a-9b0f-1418614c2349.txt-0
930,fossa,TAO:0001743,fossa,character,"prearticular with mesially projecting flange on dorsal edge along posterior border of adductor fossa",Swartz_2012.xml_3f0fd2a4-61aa-445d-ab5e-7fae95af5713.txt-0
931,fossa,TAO:0001743,fossa,character,"ectopterygoid reaches subtemporal fossa",Swartz_2012.xml_5c1a7037-7da5-46a3-bbe7-f2942c51a4f9.txt-0
932,fossa,TAO:0001743,fossa,character,"entopterygoid_quadrate ramus margin in the subtemporal fossa",Swartz_2012.xml_709d6a33-4e88-4dae-bdc7-b80bb3ba4ecc.txt-0
933,fossa,TAO:0001743,fossa,character,"meckelian exposure in precoronoid fossa",Swartz_2012.xml_b8a0c2d2-7f09-4905-93ac-52218eb07ffa.txt-0
934,fossa,TAO:0001743,fossa,description,"present as deep fossae",earlyevolutionofarchosaurs-1.xml_3d74d5bc-3033-4fb9-90c6-fcae2bb3fb5c_5fe5fde2-342a-465b-84d1-858651b4bdd8.txt-0
935,fossa,TAO:0001743,fossa,character,"meckelian fossae",Anderson_2007.xml_762ae42d-04f5-40e3-8839-15bce8a14f1d.txt-0
936,frontal,UBERON:0000209;,"tetrapod frontal bone;",character,"frontal , anterior portion :",earlyevolutionofarchosaurs-1.xml_023a0f9c-4932-4ae8-a7e2-bb80c8dfca71.txt-0
937,frontal,UBERON:0000209;,"tetrapod frontal bone;",character,"frontal , dorsal surface :",earlyevolutionofarchosaurs-1.xml_fd890195-c3d8-46f0-aafe-cc2530122e70.txt-0
938,frontal,UBERON:0000209;,"tetrapod frontal bone;",character,"frontal in orbital margin",Anderson_2007.xml_196cca6a-9ddf-4a46-9fdd-5c9825f52c67.txt-0
939,frontal,UBERON:0000209;,"tetrapod frontal bone;",description,"extensively sutured to each other and to the lateral margin of the frontals",earlyevolutionofarchosaurs-1.xml_1c26e8f8-229b-4a73-a4c1-5a9617c83855_4dfc9f86-15ab-4234-b262-e0acc23fd4a9.txt-0
940,frontal,UBERON:0000209;,"tetrapod frontal bone;",description,"separated from the lateral edge of the frontals",earlyevolutionofarchosaurs-1.xml_1c26e8f8-229b-4a73-a4c1-5a9617c83855_cbf3c8b4-6819-4d8a-ba20-6809d48d171e.txt-0
941,frontal,UBERON:0000209;,"tetrapod frontal bone;",character,frontals,Anderson_2007.xml_cfaad044-61c7-4308-b19b-d048b20b4e39.txt-0
942,frontal,UBERON:0000209;,"tetrapod frontal bone;",character,frontals,Swartz_2012.xml_2f4a4fd6-c730-483f-9b32-ec9ab951dc04.txt-0
943,furcula,UBERON:0007841;,furcula;,description,"fused into a furcula",earlyevolutionofarchosaurs-1.xml_c9c14445-ee0b-4da1-b9f5-bca4c9ef7f8e_23a068ce-b9cf-46f7-a9df-6f915762cf37.txt-0
944,gap,,,description,"midline gap between the distal ends",earlyevolutionofarchosaurs-1.xml_132c051d-10e8-44aa-aeaf-1452c88d6a1f_79994610-6951-45cf-9871-2229f59a6300.txt-0
945,gap,,,description,"dorsoventrally oriented groove or gap",earlyevolutionofarchosaurs-1.xml_1782d4ef-a480-49e6-b201-4141629e56e5_c1d3a3e0-89f5-465e-b221-982f7dc2861c.txt-0
946,gap,,,description,"articular surfaces with the ilium and the ischium separated by a groove or gap",earlyevolutionofarchosaurs-1.xml_21fdcfb8-78e7-478d-8f53-5845749229e9_8e4093e2-3b5c-419f-8074-84fcee7dc466.txt-0
947,gap,,,description,"simply separated by a clear gap",earlyevolutionofarchosaurs-1.xml_704e6f8a-a0a0-4521-8b40-a46446f40299_584d3205-1030-4a67-bc2c-64640304d586.txt-0
948,gap,,,description,"separated by a gap with a ventral fossa",earlyevolutionofarchosaurs-1.xml_704e6f8a-a0a0-4521-8b40-a46446f40299_d9e51117-32be-4437-bc5c-a17757e5dbfa.txt-0
949,gap,,,character,"premaxilla_maxilla , subnarial gap between the elements in lateral view :",earlyevolutionofarchosaurs-1.xml_74df57ee-c069-447d-b8c9-7250c8a8eab9.txt-0
950,gap,,,description,"separated by a gap",earlyevolutionofarchosaurs-1.xml_a6820dd8-35f8-4cf7-8746-aa82c6cfde35_3b90f5a2-c141-425e-bd66-a96db717560b.txt-0
951,gap,,,description,"separated by a gap from the deltopectoral crest",earlyevolutionofarchosaurs-1.xml_ddbc9dc5-f2f1-4f5d-9180-8c30d9619ffc_830b0d10-59f0-40c0-8244-db79041df634.txt-0
952,gap,,,character,"metatarsal v , dorsal prominence separated from the proximal surface by a concave gap :",earlyevolutionofarchosaurs-1.xml_f582031d-cff8-4557-9363-c9889a92a277.txt-0
953,gastralium,UBERON:0010898;,gastralium;,character,"gastralia :",earlyevolutionofarchosaurs-1.xml_39e8db54-4291-4c26-9fdf-3ae769945111.txt-0
954,gastralium,UBERON:0010898;,gastralium;,description,"ventral armour of gastralia",Swartz_2012.xml_bbdb1310-b5aa-4bfe-89ca-7118141cfe56_84fc2302-e961-4946-bddb-e64deece75b2.txt-0
955,gill,UBERON:0002535;,gill;,character,"gill osteoderms",Anderson_2007.xml_382afe44-5ccc-4cb4-a27d-9e0561997c91.txt-0
956,glenoid,,,description,"with post_glenoid process",earlyevolutionofarchosaurs-1.xml_3e082511-c54e-4b07-980e-2ea88aabfff3_23889ac6-8b1d-4d82-9f15-68d1a94e0072.txt-0
