characterr,sentence,entityontoid,entitylabel,qualityontoid,qualitylabel
Local do cr?????nio para sa?????da do nervo ??????ptico,"abertura entre o frontal, pterosfen??????ide e orbitosfen??????ide",BSPO:0000070^OBO_REL:part_of(TAO:0000737^OBO_REL:adjacent_to(TAO:0002025)),anatomical region(part_of(cranium(adjacent_to(optic foramen)))),PATO:0000141,structure
Local do cr?????nio para sa?????da do nervo ??????ptico,plana ou levemente c??????ncava,BSPO:0000070^OBO_REL:part_of(TAO:0000737^OBO_REL:adjacent_to(TAO:0002025)),anatomical region(part_of(cranium(adjacent_to(optic foramen)))),PATO:0000407,flat
Local do cr?????nio para sa?????da do nervo ??????ptico,plana ou levemente c??????ncava,BSPO:0000070^OBO_REL:part_of(TAO:0000737^OBO_REL:adjacent_to(TAO:0002025)),anatomical region(part_of(cranium(adjacent_to(optic foramen)))),PATO:0000407,flat
Local do cr?????nio para sa?????da do nervo ??????ptico,plana ou levemente c??????ncava,BSPO:0000070^OBO_REL:part_of(TAO:0000737^OBO_REL:adjacent_to(TAO:0002025)),anatomical region(part_of(cranium(adjacent_to(optic foramen)))),PATO:0001857,concave
Local do cr?????nio para sa?????da do nervo ??????ptico,plana ou levemente c??????ncava,BSPO:0000070^OBO_REL:part_of(TAO:0000737^OBO_REL:adjacent_to(TAO:0002025)),anatomical region(part_of(cranium(adjacent_to(optic foramen)))),PATO:0001857,concave
Forma da parte anterior do osso corono-meckeliano,afilada,BSPO:0000071^OBO_REL:part_of(TAO:0001274),anterior region(part_of(coronomeckelian)),PATO:0000052,shape
Forma da parte anterior do osso corono-meckeliano,afilada,BSPO:0000071^OBO_REL:part_of(TAO:0001274),anterior region(part_of(coronomeckelian)),PATO:0000052,shape
Forma da parte anterior do osso corono-meckeliano,triangular,BSPO:0000071^OBO_REL:part_of(TAO:0001274),anterior region(part_of(coronomeckelian)),PATO:0001875,triangular
Forma da parte anterior do osso corono-meckeliano,triangular,BSPO:0000071^OBO_REL:part_of(TAO:0001274),anterior region(part_of(coronomeckelian)),PATO:0001875,triangular
Superf?????cie mesial da por??????????o ascendente da cartilagem de Meckel,extremamente c??????ncava,BSPO:0000383^OBO_REL:part_of(TAO:0001205),medial surface(part_of(Meckel's cartilage)),PATO:0001857,concave
Superf?????cie mesial da por??????????o ascendente da cartilagem de Meckel,extremamente c??????ncava,BSPO:0000383^OBO_REL:part_of(TAO:0001205),medial surface(part_of(Meckel's cartilage)),PATO:0001857,concave
Superf?????cie mesial da por??????????o ascendente da cartilagem de Meckel,plana ou levemente c??????ncava,BSPO:0000383^OBO_REL:part_of(TAO:0001205),medial surface(part_of(Meckel's cartilage)),PATO:0000407,flat
Superf?????cie mesial da por??????????o ascendente da cartilagem de Meckel,plana ou levemente c??????ncava,BSPO:0000383^OBO_REL:part_of(TAO:0001205),medial surface(part_of(Meckel's cartilage)),PATO:0000407,flat
Superf?????cie mesial da por??????????o ascendente da cartilagem de Meckel,plana ou levemente c??????ncava,BSPO:0000383^OBO_REL:part_of(TAO:0001205),medial surface(part_of(Meckel's cartilage)),PATO:0001857,concave
Superf?????cie mesial da por??????????o ascendente da cartilagem de Meckel,plana ou levemente c??????ncava,BSPO:0000383^OBO_REL:part_of(TAO:0001205),medial surface(part_of(Meckel's cartilage)),PATO:0001857,concave
Regi?????o do entopterig??????ide para conex?????o com a parte anterior do cr?????nio,margem anterior,BSPO:0000671^OBO_REL:part_of(TAO:0000657),anterior margin(part_of(entopterygoid)),PATO:0001961,in contact with
Regi?????o do entopterig??????ide para conex?????o com a parte anterior do cr?????nio,margem anterior,BSPO:0000671^OBO_REL:part_of(TAO:0000657),anterior margin(part_of(entopterygoid)),PATO:0001961,in contact with
Regi?????o do entopterig??????ide para conex?????o com a parte anterior do cr?????nio,toda superf?????cie lateral,BSPO:0000382^OBO_REL:part_of(TAO:0000657),lateral surface(part_of(entopterygoid)),PATO:0001961,in contact with
Regi?????o do entopterig??????ide para conex?????o com a parte anterior do cr?????nio,toda superf?????cie lateral,BSPO:0000382^OBO_REL:part_of(TAO:0000657),lateral surface(part_of(entopterygoid)),PATO:0001961,in contact with
Contorno da margem dorsal do quadrado,c??????ncava - quadrado pedunculado,BSPO:0000679^OBO_REL:part_of(TAO:0000621),dorsal margin(part_of(quadrate)),PATO:0001857,concave
Contorno da margem dorsal do quadrado,c??????ncava - quadrado pedunculado,BSPO:0000679^OBO_REL:part_of(TAO:0000621),dorsal margin(part_of(quadrate)),PATO:0001857,concave
Contorno da margem dorsal do quadrado,reta ou convexa,BSPO:0000679^OBO_REL:part_of(TAO:0000621),dorsal margin(part_of(quadrate)),PATO:0001355,convex
Contorno da margem dorsal do quadrado,reta ou convexa,BSPO:0000679^OBO_REL:part_of(TAO:0000621),dorsal margin(part_of(quadrate)),PATO:0001355,convex
Contorno da margem dorsal do quadrado,reta ou convexa,BSPO:0000679^OBO_REL:part_of(TAO:0000621),dorsal margin(part_of(quadrate)),PATO:0002180,straight
Contorno da margem dorsal do quadrado,reta ou convexa,BSPO:0000679^OBO_REL:part_of(TAO:0000621),dorsal margin(part_of(quadrate)),PATO:0002180,straight
"Aspecto da regi?????o pr??????xima ????? margem p??????stero-dorsal do hiomandibular, logo a frente do processo para o m??????sculo levator operculi [codificado aditivamente]","plano, sem processo",BSPO:0000687^OBO_REL:part_of(TAO:0000672),postero-dorsal margin(part_of(hyomandibula)),PATO:0000407,flat
"Aspecto da regi?????o pr??????xima ????? margem p??????stero-dorsal do hiomandibular, logo a frente do processo para o m??????sculo levator operculi [codificado aditivamente]","plano, sem processo",BSPO:0000687^OBO_REL:part_of(TAO:0000672),postero-dorsal margin(part_of(hyomandibula)),PATO:0000407,flat
Rela??????????o do interop??????rculo com o op??????rculo,interop??????rculo com consp?????cua concavidade posterior para encaixe da extremidade anterior do op??????rculo,BSPO:0000672^OBO_REL:part_of(TAO:0000674),posterior margin(part_of(interopercle)),PATO:0001857,concave
Rela??????????o do interop??????rculo com o op??????rculo,interop??????rculo com consp?????cua concavidade posterior para encaixe da extremidade anterior do op??????rculo,BSPO:0000672^OBO_REL:part_of(TAO:0000674),posterior margin(part_of(interopercle)),PATO:0001857,concave
Rela??????????o do interop??????rculo com o op??????rculo,margem posterior do interop??????rculo pouco ou n?????o diferenciada,BSPO:0000672^OBO_REL:part_of(TAO:0000674),posterior margin(part_of(interopercle)),PATO:0000052,shape
Rela??????????o do interop??????rculo com o op??????rculo,margem posterior do interop??????rculo pouco ou n?????o diferenciada,BSPO:0000672^OBO_REL:part_of(TAO:0000674),posterior margin(part_of(interopercle)),PATO:0000052,shape
Aspecto da face lateral do op??????rculo,plana,BSPO:0000382^OBO_REL:part_of(TAO:0000250),lateral surface(part_of(opercle)),PATO:0000407,flat
Aspecto da face lateral do op??????rculo,plana,BSPO:0000382^OBO_REL:part_of(TAO:0000250),lateral surface(part_of(opercle)),PATO:0000407,flat
Margem dorsal do op??????rculo,retil?????nea,BSPO:0000679^OBO_REL:part_of(TAO:0000250),dorsal margin(part_of(opercle)),PATO:0002180,straight
Margem dorsal do op??????rculo,retil?????nea,BSPO:0000679^OBO_REL:part_of(TAO:0000250),dorsal margin(part_of(opercle)),PATO:0002180,straight
Orienta??????????o da extremidade posterior do op??????rculo em rela??????????o ????? sua margem dorsal [n?????o aditivo],para baixo,BSPO:0000672^OBO_REL:part_of(TAO:0000250),posterior margin(part_of(opercle)),PATO:0000140,position
Orienta??????????o da extremidade posterior do op??????rculo em rela??????????o ????? sua margem dorsal [n?????o aditivo],para cima,BSPO:0000672^OBO_REL:part_of(TAO:0000250),posterior margin(part_of(opercle)),PATO:0000140,position
Orienta??????????o da extremidade posterior do op??????rculo em rela??????????o ????? sua margem dorsal [n?????o aditivo],reta,BSPO:0000672^OBO_REL:part_of(TAO:0000250),posterior margin(part_of(opercle)),PATO:0000140,position
Aspecto da extremidade p??????stero-dorsal do op??????rculo,arrendondada,BSPO:0000030^OBO_REL:part_of(TAO:0000250),postero-dorsal region(part_of(opercle)),PATO:0000411,round
Aspecto da extremidade p??????stero-dorsal do op??????rculo,arrendondada,BSPO:0000030^OBO_REL:part_of(TAO:0000250),postero-dorsal region(part_of(opercle)),PATO:0000411,round
Aspecto da extremidade p??????stero-dorsal do op??????rculo,ponteaguda,BSPO:0000030^OBO_REL:part_of(TAO:0000250),postero-dorsal region(part_of(opercle)),PATO:0001500,tapered
Aspecto da extremidade p??????stero-dorsal do op??????rculo,ponteaguda,BSPO:0000030^OBO_REL:part_of(TAO:0000250),postero-dorsal region(part_of(opercle)),PATO:0001500,tapered
Face lateral do arco branquiost??????gio (cerato-hial posterior),com consp?????cua quilha,BSPO:0000382^OBO_REL:part_of(TAO:0002101),lateral surface(part_of(branchiostegal ray series)),PATO:0001875,triangular
Face lateral do arco branquiost??????gio (cerato-hial posterior),com consp?????cua quilha,BSPO:0000382^OBO_REL:part_of(TAO:0002101),lateral surface(part_of(branchiostegal ray series)),PATO:0001875,triangular
Face lateral do arco branquiost??????gio (cerato-hial posterior),plana ou com discreta eleva??????????o,BSPO:0000382^OBO_REL:part_of(TAO:0002101),lateral surface(part_of(branchiostegal ray series)),PATO:0000407,flat
Face lateral do arco branquiost??????gio (cerato-hial posterior),plana ou com discreta eleva??????????o,BSPO:0000382^OBO_REL:part_of(TAO:0002101),lateral surface(part_of(branchiostegal ray series)),PATO:0000407,flat
Snout truncated,"in most silurids, the snout has a smoothly convex dorsal profile and the snout depth gradually decreases anteriorly",BSPO:0000079^OBO_REL:part_of(TAO:0001712),dorsal region(part_of(snout)),PATO:0001355,convex
Snout truncated,"in most silurids, the snout has a smoothly convex dorsal profile and the snout depth gradually decreases anteriorly",BSPO:0000079^OBO_REL:part_of(TAO:0001712),dorsal region(part_of(snout)),PATO:0001355,convex
"Fourth infraorbital also bears a laminar process, the shape and extent of which varies","process elongate, but with a broad origin along the length of the fourth infraorbital (unique to <i>Wullugo attu</i>; Fig. 4B)",BSPO:0000074^OBO_REL:part_of(TAO:0001834^OBO_REL:part_of(TAO:0001409)),basal region(part_of(process(part_of(infraorbital 4)))),PATO:0000600,increased width
"Fourth infraorbital also bears a laminar process, the shape and extent of which varies","process elongate, but with a broad origin along the length of the fourth infraorbital (unique to <i>Wullugo attu</i>; Fig. 4B)",BSPO:0000074^OBO_REL:part_of(TAO:0001834^OBO_REL:part_of(TAO:0001409)),basal region(part_of(process(part_of(infraorbital 4)))),PATO:0000600,increased width
States of the lateral ethmoid antorbital process,process anteroposteriorly compressed for most of its length and sometimes slightly recurved posteriorly (Fig. 5B),BSPO:0000072^OBO_REL:part_of(TAO:0001604),posterior region(part_of(lateral ethmoid palatine process)),PATO:0002211,recurved
States of the lateral ethmoid antorbital process,process anteroposteriorly compressed for most of its length and sometimes slightly recurved posteriorly (Fig. 5B),BSPO:0000072^OBO_REL:part_of(TAO:0001604),posterior region(part_of(lateral ethmoid palatine process)),PATO:0002211,recurved
States of the lateral ethmoid antorbital process,"process dorsoventrally flattened, and proximally broad and narrowing distally (Fig. 5A)",BSPO:0000077^OBO_REL:part_of(TAO:0001604),proximal region(part_of(lateral ethmoid palatine process)),PATO:0000600,increased width
States of the lateral ethmoid antorbital process,"process dorsoventrally flattened, and proximally broad and narrowing distally (Fig. 5A)",BSPO:0000077^OBO_REL:part_of(TAO:0001604),proximal region(part_of(lateral ethmoid palatine process)),PATO:0000600,increased width
States of the lateral ethmoid antorbital process,"process dorsoventrally flattened, and proximally broad and narrowing distally (Fig. 5A)",BSPO:0000078^OBO_REL:part_of(TAO:0001604),distal region(part_of(lateral ethmoid palatine process)),PATO:0000599,decreased width
States of the lateral ethmoid antorbital process,"process dorsoventrally flattened, and proximally broad and narrowing distally (Fig. 5A)",BSPO:0000078^OBO_REL:part_of(TAO:0001604),distal region(part_of(lateral ethmoid palatine process)),PATO:0000599,decreased width
States of the lateral ethmoid antorbital process,"process elongate, but robust and distally expanded with a broad contact with the third infraorbital (unique to <i>Wullago attu</i>; Fig. 4B)",BSPO:0000078^OBO_REL:part_of(TAO:0001604),distal region(part_of(lateral ethmoid palatine process)),PATO:0002057,increased area
States of the lateral ethmoid antorbital process,"process elongate, but robust and distally expanded with a broad contact with the third infraorbital (unique to <i>Wullago attu</i>; Fig. 4B)",BSPO:0000078^OBO_REL:part_of(TAO:0001604),distal region(part_of(lateral ethmoid palatine process)),PATO:0002057,increased area
Supraoccipital process,"in the <i>Ompok bimaculatus</i> and <i>O. leiacanthus</i> groups, though, the process is vertically attenuated, its height much longer than its base",BSPO:0000074^OBO_REL:part_of(TAO:0001783),basal region(part_of(supraoccipital crest)),PATO:0000574,decreased length
Supraoccipital process,"in the <i>Ompok bimaculatus</i> and <i>O. leiacanthus</i> groups, though, the process is vertically attenuated, its height much longer than its base",BSPO:0000074^OBO_REL:part_of(TAO:0001783),basal region(part_of(supraoccipital crest)),PATO:0000574,decreased length
Supraoccipital process,the process is stout and the process?????? base is as long or longer than its height,BSPO:0000074^OBO_REL:part_of(TAO:0001783),basal region(part_of(supraoccipital crest)),PATO:0000573,increased length
Supraoccipital process,the process is stout and the process?????? base is as long or longer than its height,BSPO:0000074^OBO_REL:part_of(TAO:0001783),basal region(part_of(supraoccipital crest)),PATO:0000573,increased length
Ventral surface of the premaxilla,"the premaxilla in the <i>Kryptopterus hexapterus</i> group, <i>Hemisilurus</i> and <i>Ceratoglanis</i>, though, bears a slender toothless process that extends posteriorly from the lateral comer of the premaxilla and nearly reaches the anterior margin of the metapterygoid",BSPO:0000384^OBO_REL:part_of(TAO:0000567),ventral surface(part_of(premaxilla)),PATO:0000141,structure
Ventral surface of the premaxilla,"the premaxilla in the <i>Kryptopterus hexapterus</i> group, <i>Hemisilurus</i> and <i>Ceratoglanis</i>, though, bears a slender toothless process that extends posteriorly from the lateral comer of the premaxilla and nearly reaches the anterior margin of the metapterygoid",BSPO:0000384^OBO_REL:part_of(TAO:0000567),ventral surface(part_of(premaxilla)),PATO:0000141,structure
Ventral surface of the premaxilla,the ventral surface of the premaxilla is fully toothed,BSPO:0000384^OBO_REL:part_of(TAO:0000567),ventral surface(part_of(premaxilla)),PATO:0000141,structure
Ventral surface of the premaxilla,the ventral surface of the premaxilla is fully toothed,BSPO:0000384^OBO_REL:part_of(TAO:0000567),ventral surface(part_of(premaxilla)),PATO:0000141,structure
Ventral surface of the premaxilla,"in <i>Kryptopterus schilbeides, K. cryptopterus</i> and the <i>K. limpok, K. bicirrhis</i> and <i>Ompok eugeneiatus</i> groups, the premaxilla includes a short, toothless lamina that extends from the medial corner of the bone",BSPO:0000384^OBO_REL:part_of(TAO:0000567),ventral surface(part_of(premaxilla)),PATO:0000141,structure
Ventral surface of the premaxilla,"in <i>Kryptopterus schilbeides, K. cryptopterus</i> and the <i>K. limpok, K. bicirrhis</i> and <i>Ompok eugeneiatus</i> groups, the premaxilla includes a short, toothless lamina that extends from the medial corner of the bone",BSPO:0000384^OBO_REL:part_of(TAO:0000567),ventral surface(part_of(premaxilla)),PATO:0000141,structure
Ventral surface of the premaxilla,the ventral surface of the premaxilla is fully toothed,BSPO:0000384^OBO_REL:part_of(TAO:0000567),ventral surface(part_of(premaxilla)),PATO:0000141,structure
Ventral surface of the premaxilla,the ventral surface of the premaxilla is fully toothed,BSPO:0000384^OBO_REL:part_of(TAO:0000567),ventral surface(part_of(premaxilla)),PATO:0000141,structure
Edge of the coracoid,"in most silurids, the medial edge of the coracoid is straight or smoothly convex",BSPO:0000683^OBO_REL:part_of(TAO:0000332),medial margin(part_of(coracoid)),PATO:0001355,convex
Edge of the coracoid,"in most silurids, the medial edge of the coracoid is straight or smoothly convex",BSPO:0000683^OBO_REL:part_of(TAO:0000332),medial margin(part_of(coracoid)),PATO:0001355,convex
Edge of the coracoid,"in most silurids, the medial edge of the coracoid is straight or smoothly convex",BSPO:0000683^OBO_REL:part_of(TAO:0000332),medial margin(part_of(coracoid)),PATO:0002180,straight
Edge of the coracoid,"in most silurids, the medial edge of the coracoid is straight or smoothly convex",BSPO:0000683^OBO_REL:part_of(TAO:0000332),medial margin(part_of(coracoid)),PATO:0002180,straight
Maxillary barbel,maxillary barbel in <i>Ceratoglanis</i> is stiffened by a cartilaginous core and distally hooked,BSPO:0000078^OBO_REL:part_of(TAO:0001938),distal region(part_of(maxillary barbel)),PATO:0002215,falciform
Maxillary barbel,maxillary barbel in <i>Ceratoglanis</i> is stiffened by a cartilaginous core and distally hooked,BSPO:0000078^OBO_REL:part_of(TAO:0001938),distal region(part_of(maxillary barbel)),PATO:0002215,falciform
Anterior portion of mesethmoid,long,BSPO:0000071^OBO_REL:part_of(TAO:0000323),anterior region(part_of(mesethmoid bone)),PATO:0000573,increased length
Anterior portion of mesethmoid,long,BSPO:0000071^OBO_REL:part_of(TAO:0000323),anterior region(part_of(mesethmoid bone)),PATO:0000573,increased length
Anterior portion of mesethmoid,short,BSPO:0000071^OBO_REL:part_of(TAO:0000323),anterior region(part_of(mesethmoid bone)),PATO:0000574,decreased length
Anterior portion of mesethmoid,short,BSPO:0000071^OBO_REL:part_of(TAO:0000323),anterior region(part_of(mesethmoid bone)),PATO:0000574,decreased length
Anterior expansion of infraorbital 1,absent,BSPO:0000071^OBO_REL:part_of(TAO:0000223),anterior region(part_of(infraorbital 1)),PATO:0000587,decreased size
Anterior expansion of infraorbital 1,absent,BSPO:0000071^OBO_REL:part_of(TAO:0000223),anterior region(part_of(infraorbital 1)),PATO:0000587,decreased size
Anterior expansion of infraorbital 1,large,BSPO:0000071^OBO_REL:part_of(TAO:0000223),anterior region(part_of(infraorbital 1)),PATO:0000586,increased size
Anterior expansion of infraorbital 1,large,BSPO:0000071^OBO_REL:part_of(TAO:0000223),anterior region(part_of(infraorbital 1)),PATO:0000586,increased size
Anterior expansion of infraorbital 1,small,BSPO:0000071^OBO_REL:part_of(TAO:0000223),anterior region(part_of(infraorbital 1)),PATO:0000587,decreased size
Anterior expansion of infraorbital 1,small,BSPO:0000071^OBO_REL:part_of(TAO:0000223),anterior region(part_of(infraorbital 1)),PATO:0000587,decreased size
Anterior expansion of infraorbital 1,very large,BSPO:0000071^OBO_REL:part_of(TAO:0000223),anterior region(part_of(infraorbital 1)),PATO:0000586,increased size
Anterior expansion of infraorbital 1,very large,BSPO:0000071^OBO_REL:part_of(TAO:0000223),anterior region(part_of(infraorbital 1)),PATO:0000586,increased size
Posterior portion of mesethmoid,narrow,BSPO:0000072^OBO_REL:part_of(TAO:0000323),posterior region(part_of(mesethmoid bone)),PATO:0000599,decreased width
Posterior portion of mesethmoid,narrow,BSPO:0000072^OBO_REL:part_of(TAO:0000323),posterior region(part_of(mesethmoid bone)),PATO:0000599,decreased width
Posterior portion of mesethmoid,wide,BSPO:0000072^OBO_REL:part_of(TAO:0000323),posterior region(part_of(mesethmoid bone)),PATO:0000600,increased width
Posterior portion of mesethmoid,wide,BSPO:0000072^OBO_REL:part_of(TAO:0000323),posterior region(part_of(mesethmoid bone)),PATO:0000600,increased width
Posterior expansion of ceratobranchial 3,"continuous [Also p. 131: ""the third ceratobranchial is a slender, rectangular bone, and has a laminar expansion along its entire posterior border. In the majority of the members of the Loricarioidea there is no gap in this expansion""]",BSPO:0000682^OBO_REL:part_of(TAO:0001834^OBO_REL:part_of(BSPO:0000072^OBO_REL:part_of(TAO:0001241))),lateral margin(part_of(process(part_of(posterior region(part_of(ceratobranchial 3 bone)))))),PATO:0000052,shape
Posterior expansion of ceratobranchial 3,"continuous [Also p. 131: ""the third ceratobranchial is a slender, rectangular bone, and has a laminar expansion along its entire posterior border. In the majority of the members of the Loricarioidea there is no gap in this expansion""]",BSPO:0000682^OBO_REL:part_of(TAO:0001834^OBO_REL:part_of(BSPO:0000072^OBO_REL:part_of(TAO:0001241))),lateral margin(part_of(process(part_of(posterior region(part_of(ceratobranchial 3 bone)))))),PATO:0000052,shape
Posterior expansion of ceratobranchial 3,"with a notch [Also p. 131: ""notch on the posterior expansion of the ceratobranchial near its tip proximate to the corresponding epibranchial""]",BSPO:0000682^OBO_REL:part_of(TAO:0001834^OBO_REL:part_of(BSPO:0000072^OBO_REL:part_of(TAO:0001241))),lateral margin(part_of(process(part_of(posterior region(part_of(ceratobranchial 3 bone)))))),PATO:0001495,notched
Posterior expansion of ceratobranchial 3,"with a notch [Also p. 131: ""notch on the posterior expansion of the ceratobranchial near its tip proximate to the corresponding epibranchial""]",BSPO:0000682^OBO_REL:part_of(TAO:0001834^OBO_REL:part_of(BSPO:0000072^OBO_REL:part_of(TAO:0001241))),lateral margin(part_of(process(part_of(posterior region(part_of(ceratobranchial 3 bone)))))),PATO:0001495,notched
Free margin of opercle,angulated,BSPO:0000672^OBO_REL:part_of(TAO:0000250),posterior margin(part_of(opercle)),PATO:0001977,angular
Free margin of opercle,angulated,BSPO:0000672^OBO_REL:part_of(TAO:0000250),posterior margin(part_of(opercle)),PATO:0001977,angular
Free margin of opercle,smooth,BSPO:0000672^OBO_REL:part_of(TAO:0000250),posterior margin(part_of(opercle)),PATO:0000406,curved
Free margin of opercle,smooth,BSPO:0000672^OBO_REL:part_of(TAO:0000250),posterior margin(part_of(opercle)),PATO:0000406,curved
Anteroventral portion of cleithrum,covered by skin,BSPO:0000027^OBO_REL:part_of(TAO:0000184),antero-ventral region(part_of(cleithrum)),PATO:0000140,position
Anteroventral portion of cleithrum,exposed,BSPO:0000027^OBO_REL:part_of(TAO:0000184),antero-ventral region(part_of(cleithrum)),PATO:0000140,position
Shape of ischiac process,small or posteriorly elongate,BSPO:0000072^OBO_REL:part_of(TAO:0001734),posterior region(part_of(posterior process of basipterygium)),PATO:0001154,elongated
Shape of ischiac process,small or posteriorly elongate,BSPO:0000072^OBO_REL:part_of(TAO:0001734),posterior region(part_of(posterior process of basipterygium)),PATO:0001154,elongated
Posterior margin of ischiac process,smooth,BSPO:0000672^OBO_REL:part_of(TAO:0001734),posterior margin(part_of(posterior process of basipterygium)),PATO:0000406,curved
Posterior margin of ischiac process,smooth,BSPO:0000672^OBO_REL:part_of(TAO:0001734),posterior margin(part_of(posterior process of basipterygium)),PATO:0000406,curved
Posterior margin of ischiac process,with a narrow expansion,BSPO:0000672^OBO_REL:part_of(TAO:0001734),posterior margin(part_of(posterior process of basipterygium)),PATO:0001602,distended
Posterior margin of ischiac process,with a narrow expansion,BSPO:0000672^OBO_REL:part_of(TAO:0001734),posterior margin(part_of(posterior process of basipterygium)),PATO:0001602,distended
Dorsal region of head and body,with a uniform coloration or with blotches and/or spots,BSPO:0000079^OBO_REL:part_of(TAO:0001094),dorsal region(part_of(body)),PATO:0000329,blotchy
Dorsal region of head and body,with a uniform coloration or with blotches and/or spots,BSPO:0000079^OBO_REL:part_of(TAO:0001094),dorsal region(part_of(body)),PATO:0000333,spotted
Dorsal region of head and body,with a uniform coloration or with blotches and/or spots,BSPO:0000079^OBO_REL:part_of(TAO:0001114),dorsal region(part_of(head)),PATO:0000329,blotchy
Dorsal region of head and body,with a uniform coloration or with blotches and/or spots,BSPO:0000079^OBO_REL:part_of(TAO:0001114),dorsal region(part_of(head)),PATO:0000333,spotted
Dorsal region of body between the anterior portion of the nuchal plate and the caudal-fin base,with a uniform coloration or with blotches and/or spots,BSPO:0000079^OBO_REL:part_of(TAO:0001094),dorsal region(part_of(body)),PATO:0000329,blotchy
Dorsal region of body between the anterior portion of the nuchal plate and the caudal-fin base,with a uniform coloration or with blotches and/or spots,BSPO:0000079^OBO_REL:part_of(TAO:0001094),dorsal region(part_of(body)),PATO:0000333,spotted
Dorsal region of body between the anterior portion of the nuchal plate and the caudal-fin base,with a uniform coloration or with blotches and/or spots,BSPO:0000079^OBO_REL:part_of(TAO:0001094),dorsal region(part_of(body)),PATO:0001532,mono-colored
Junction of lateral body plates,variable; when more than one state (polymorphism) was present in the same terminal p. 122 in journal (p. 4 of PDF),BSPO:0000070^OBO_REL:adjacent_to(TAO:0002053),anatomical region(adjacent_to(bony plate)),PATO:0000019,color pattern
Junction of lateral body plates,variable; when more than one state (polymorphism) was present in the same terminal p. 122 in journal (p. 4 of PDF),BSPO:0000070^OBO_REL:adjacent_to(TAO:0002053),anatomical region(adjacent_to(bony plate)),PATO:0000329,blotchy
Junction of lateral body plates,without any conspicuous color marks or showing some blotches,BSPO:0000070^OBO_REL:adjacent_to(TAO:0002053),anatomical region(adjacent_to(bony plate)),PATO:0000329,blotchy
Caudal-fin base,with a dark brown diamond-shaped spot bordered by two white stripes,BSPO:0000074^OBO_REL:part_of(TAO:0001058),basal region(part_of(caudal fin)),PATO:0000333,spotted
Caudal-fin base,with a dark brown diamond-shaped spot bordered by two white stripes,BSPO:0000074^OBO_REL:part_of(TAO:0001058),basal region(part_of(caudal fin)),PATO:0001946,banded
Caudal-fin base,without any conspicuous color markings,BSPO:0000074^OBO_REL:part_of(TAO:0001058),basal region(part_of(caudal fin)),PATO:0000337,colorless
Area between pelvic- and anal-fin origins,with a dark brown stripe,BSPO:0000070^OBO_REL:adjacent_to(TAO:0001184)^OBO_REL:adjacent_to(TAO:0001162),"anatomical region(adjacent_to(anal fin), adjacent_to(pelvic fin))",PATO:0001946,banded
Area between pelvic- and anal-fin origins,without conspicuous color markings,BSPO:0000070^OBO_REL:adjacent_to(TAO:0001184)^OBO_REL:adjacent_to(TAO:0001162),"anatomical region(adjacent_to(anal fin), adjacent_to(pelvic fin))",PATO:0000337,colorless
Mesethmoid shape,articular process of mesethmoid bone greatly reduced or missing,BSPO:0000071^OBO_REL:part_of(TAO:0000323),anterior region(part_of(mesethmoid bone)),PATO:0000414,unbranched
Mesethmoid shape,articular process of mesethmoid bone greatly reduced or missing,BSPO:0000071^OBO_REL:part_of(TAO:0000323),anterior region(part_of(mesethmoid bone)),PATO:0000414,unbranched
Mesethmoid shape,"mesethmoid trifurcate anteriorly, i.e. a pair of lateral processes projecting towards the articular face of premaxillae",BSPO:0000071^OBO_REL:part_of(TAO:0000323),anterior region(part_of(mesethmoid bone)),PATO:0001890,tripartite
Mesethmoid shape,"mesethmoid trifurcate anteriorly, i.e. a pair of lateral processes projecting towards the articular face of premaxillae",BSPO:0000071^OBO_REL:part_of(TAO:0000323),anterior region(part_of(mesethmoid bone)),PATO:0001890,tripartite
Dorsolateral margin of skull,dorsolateral margin of the skull conspicuously vaulted by the presence of the dilator groove,BSPO:0000680^OBO_REL:part_of(TAO:0000737),dorso-lateral margin(part_of(cranium)),PATO:0000406,curved
Dorsolateral margin of skull,dorsolateral margin of the skull conspicuously vaulted by the presence of the dilator groove,BSPO:0000680^OBO_REL:part_of(TAO:0000737),dorso-lateral margin(part_of(cranium)),PATO:0000406,curved
Dorsolateral margin of skull,"mostly straight, with the origin of the dilator operculi muscle located under the lateral edge of the frontal",BSPO:0000680^OBO_REL:part_of(TAO:0000737),dorso-lateral margin(part_of(cranium)),PATO:0002180,straight
Dorsolateral margin of skull,"mostly straight, with the origin of the dilator operculi muscle located under the lateral edge of the frontal",BSPO:0000680^OBO_REL:part_of(TAO:0000737),dorso-lateral margin(part_of(cranium)),PATO:0002180,straight
Dentary,a notch along lower border of the dentary just posterior to the convoluted symphysis,BSPO:0000684^OBO_REL:part_of(TAO:0000191)^BSPO:0000099(TAO:0001851),"ventral margin(part_of(dentary), posterior_to(mandibular symphysis))",PATO:0001495,notched
Dentary,a notch along lower border of the dentary just posterior to the convoluted symphysis,BSPO:0000684^OBO_REL:part_of(TAO:0000191)^BSPO:0000099(TAO:0001851),"ventral margin(part_of(dentary), posterior_to(mandibular symphysis))",PATO:0001495,notched
Dentary,lower surface of dentary posterior to symphysis without any conspicuous notch,BSPO:0000684^OBO_REL:part_of(TAO:0000191)^BSPO:0000099(TAO:0001851),"ventral margin(part_of(dentary), posterior_to(mandibular symphysis))",PATO:0000052,shape
